"ESTILO","FAMPESP","CORTADOR FORRO","CORTADOR PIEL","PESPUNTADOR","PRELIMINAR","REBAJADOR"
"10300",1,31,0,69,209,36
"10302",4,37,0,46,161,36
"10303",6,43,0,46,422,23
"10551",5,13,0,0,210,39
"10552",5,13,0,46,302,30
"10554",1,22,0,0,224,20
"10673",1,21,0,0,128,36
"10693",2,13,0,69,179,36
"10699",4,13,0,0,252,54
"10700",5,13,0,0,208,30
"10708",5,25,0,0,204,0
"10709",1,43,6,0,128,36
"11002",2,13,0,59,224,44
"11061",4,13,0,46,214,43
"11077",4,37,0,46,199,54
"11122",5,0,0,34,347,30
"11123",1,22,0,0,224,20
"11129",4,13,0,23,199,30
"11131",1,3,0,23,239,30
"11571",1,31,0,69,179,36
"11932",4,13,0,0,270,36
"11933",2,13,0,84,219,0
"11973",2,13,0,34,347,36
"11974",4,37,0,46,199,54
"11977",5,25,0,0,204,0
"12161",2,13,0,0,245,72
"12164",4,13,0,0,120,54
"12647",2,31,0,69,179,36
"12841",2,31,0,0,140,36
"12842",2,13,0,69,179,36
"12981",4,13,0,23,199,45
"12982",5,13,0,17,142,30
"12984",4,13,0,72,219,45
"13275",4,40,0,23,216,41
"13276",4,36,0,0,247,61
"13279",2,18,0,46,162,36
"13584",1,28,0,23,145,36
"13627",2,21,0,69,159,36
"13681",6,40,0,76,177,38
"13683",6,0,46,86,153,60
"13901",2,0,80,76,272,46
"13904",5,44,0,69,204,36
"13906",4,13,0,46,131,54
"14076",2,31,0,69,179,36
"14501",1,31,0,69,179,36
"14574",4,24,0,0,154,36
"14862",1,21,0,69,179,36
"1525",6,33,0,46,232,49
"1645",4,27,0,69,179,54
"18298",5,54,0,89,337,36
"18299",6,72,0,125,446,72
"18300",4,54,0,72,429,36
"18301",4,44,0,46,312,47
"18302",2,31,0,0,146,30
"18303",4,54,0,72,338,36
"18311",2,51,0,0,339,72
"18312",6,36,0,0,496,36
"18314",2,33,0,0,142,36
"18318",6,36,0,89,411,36
"18320",1,28,0,0,428,36
"18411",2,28,0,23,196,31
"30021",5,0,49,0,284,30
"30022",2,0,70,0,246,20
"30091",5,30,0,46,339,72
"30092",6,33,0,46,375,72
"30093",5,27,0,118,285,60
"30245",5,46,0,69,231,54
"35311",5,0,37,59,151,0
"35312",4,13,0,0,80,0
"4006",5,39,0,87,297,38
"40071",5,37,0,46,190,32
"40074",5,31,0,46,151,36
"40801",6,13,0,46,269,36
"40802",5,13,0,46,202,30
"40803",5,13,0,46,202,36
"50011",5,13,0,0,153,30
"50013",1,13,0,30,183,30
"60086",1,0,0,0,512,20
"60251",1,21,0,69,157,36
"60253",2,13,0,0,140,36
"65033",5,13,0,92,385,36
"75015",2,31,0,69,179,36
"75017",2,31,0,69,179,36
"75275",2,13,0,0,85,0
"80267",5,13,0,161,312,41
"80268",6,46,0,276,278,44
"8041",5,49,0,167,376,54
"8043",5,43,0,134,330,45
"8044",6,61,0,275,277,132
"8053",5,55,0,176,372,54
"8060",5,52,0,192,403,54
"8274",5,37,0,97,410,36
"85081",2,13,0,69,179,36
"90078",4,13,0,122,201,36
"90081",1,13,0,36,173,30
"90083",5,13,0,60,195,72
"90084",4,13,0,30,255,36
"90117",5,30,0,184,258,36
"90742",1,13,0,0,301,17
"90747",4,13,0,0,254,56
"95041",1,31,0,69,157,36
"95042",1,13,0,0,118,36
"95161",2,13,0,66,150,36
"95162",4,13,0,0,85,95
"P5010",3,28,0,138,370,96
"P5012",3,22,0,168,261,41
"P5016",3,16,0,200,269,85
"P5017",3,16,0,200,269,85
"P5020",3,6,0,142,217,54
"P5021",3,16,0,142,227,54
"P5022",3,6,0,200,257,85
"P5023",3,6,0,200,257,85
"P5024",3,16,0,200,269,85
"P5033",3,19,0,82,347,60
"P5034",3,19,0,82,347,60
"P5036",3,22,0,92,264,54
"P5037",3,22,0,70,332,45
"P5038",3,12,0,92,373,36
"P5042",3,16,0,142,194,54
"P5043",3,0,367,70,175,71
"P5044",3,16,0,120,347,60
"P5056",3,0,226,46,214,54
"P5078",3,22,0,227,395,72
"P5079",3,22,0,227,395,72
"P5083",3,16,0,133,287,69
"P5099",3,16,0,96,268,74
"P5100",3,16,0,96,268,74
"P5101",3,22,0,129,340,45
"P5102",3,16,0,133,287,69
"P5107",3,22,0,129,340,45
"P5109",3,13,0,128,219,30
"P5111",3,13,0,232,222,79
"P5112",3,22,0,245,436,39
"P5114",3,13,0,327,288,57
"P5117",3,13,0,253,298,70
"P5118",3,13,0,253,298,70
"P5121",3,16,0,209,196,36
"P5122",3,16,0,209,196,36
"P5123",3,13,0,209,196,36
"P5124",3,22,0,89,377,36
"P5125",3,13,0,89,377,36
"P5126",3,22,0,89,377,36
"P5127",3,22,0,89,377,36
"P5128",3,13,0,125,370,36
"PB003",3,0,226,46,214,54
"PB004",3,0,388,83,236,60
"PB012",3,0,222,47,216,47
"PB019",3,0,396,77,314,71
"PB023",3,0,388,83,236,60
