"ESTILO","FAMPESP","CORTADOR PIEL","PRELIMINAR"
"10300",1,42,0
"10302",4,92,0
"10303",6,58,0
"10551",5,96,36
"10552",5,106,36
"10554",1,269,36
"10673",1,77,36
"10693",2,79,36
"10699",4,134,36
"10700",5,129,36
"10708",5,50,0
"10709",1,77,36
"11002",2,154,36
"11061",4,92,36
"11077",4,36,0
"11122",5,294,36
"11123",1,269,36
"11129",4,97,36
"11131",1,107,36
"11571",1,75,0
"11932",4,109,36
"11933",2,92,36
"11973",2,338,36
"11974",4,36,0
"11977",5,50,0
"12161",2,87,36
"12164",4,269,36
"12647",2,40,0
"12841",2,113,0
"12842",2,92,36
"12981",4,90,36
"12982",5,67,36
"12984",4,152,36
"13275",4,106,36
"13276",4,126,36
"13279",2,111,36
"13584",1,98,36
"13627",2,106,36
"13681",6,82,0
"13683",6,0,0
"13901",2,25,0
"13904",5,26,0
"13906",4,95,36
"14076",2,113,0
"14501",1,20,0
"14574",4,87,36
"14862",1,20,0
"1525",6,94,36
"1645",4,33,0
"18298",5,128,36
"18299",6,180,0
"18300",4,63,0
"18301",4,72,0
"18302",2,24,0
"18303",4,72,0
"18311",2,72,0
"18312",6,41,0
"18314",2,41,0
"18318",6,219,36
"18320",1,192,36
"18411",2,25,0
"30021",5,90,36
"30022",2,90,36
"30091",5,126,36
"30092",6,116,36
"30093",5,144,36
"30245",5,103,36
"35311",5,46,0
"35312",4,87,36
"4006",5,185,0
"40071",5,71,0
"40074",5,15,0
"40801",6,215,36
"40802",5,103,36
"40803",5,102,36
"50011",5,179,36
"50013",1,68,36
"60086",1,115,36
"60251",1,146,36
"60253",2,84,36
"65033",5,131,36
"75015",2,20,0
"75017",2,25,0
"75275",2,110,36
"80267",5,256,36
"80268",6,314,36
"8041",5,149,0
"8043",5,92,0
"8044",6,46,0
"8053",5,82,0
"8060",5,195,0
"8274",5,318,36
"85081",2,180,36
"90078",4,455,36
"90081",1,78,36
"90083",5,115,36
"90084",4,155,36
"90117",5,99,36
"90742",1,313,36
"90747",4,108,36
"95041",1,15,0
"95042",1,88,36
"95161",2,80,36
"95162",4,138,36
"P5010",3,287,0
"P5012",3,308,0
"P5016",3,397,0
"P5017",3,397,0
"P5020",3,332,0
"P5021",3,332,0
"P5022",3,397,0
"P5023",3,397,0
"P5024",3,397,0
"P5033",3,312,0
"P5034",3,312,0
"P5036",3,300,0
"P5037",3,550,72
"P5038",3,313,75
"P5042",3,332,0
"P5043",3,0,0
"P5044",3,397,0
"P5056",3,0,0
"P5078",3,416,36
"P5079",3,416,36
"P5083",3,416,36
"P5099",3,393,36
"P5100",3,393,72
"P5101",3,354,36
"P5102",3,416,36
"P5107",3,360,0
"P5109",3,345,72
"P5111",3,403,36
"P5112",3,205,36
"P5114",3,767,36
"P5117",3,475,36
"P5118",3,475,36
"P5121",3,438,72
"P5122",3,438,72
"P5123",3,438,36
"P5124",3,290,0
"P5125",3,278,36
"P5126",3,288,36
"P5127",3,288,36
"P5128",3,361,36
"PB003",3,0,0
"PB004",3,0,0
"PB012",3,0,0
"PB019",3,0,0
"PB023",3,0,0
