"ESTILO","FAMPESP","DOBLILLADOR","PESPUNTADOR","PRECONFORMADOR","PRELIMINAR"
"10300",1,32,64,0,410
"10302",4,60,175,0,889
"10303",6,54,371,0,1360
"10551",5,162,295,0,975
"10552",5,0,366,0,1287
"10554",1,0,126,0,492
"10673",1,32,133,0,427
"10693",2,32,114,0,406
"10699",4,90,202,0,854
"10700",5,66,278,0,1188
"10708",5,45,225,0,826
"10709",1,32,169,0,503
"11002",2,77,147,0,513
"11061",4,66,234,0,797
"11077",4,36,222,0,778
"11122",5,32,307,0,976
"11123",1,0,126,0,492
"11129",4,57,212,0,788
"11131",1,0,77,0,420
"11571",1,32,64,0,410
"11932",4,66,211,0,716
"11933",2,0,198,0,506
"11973",2,90,105,0,857
"11974",4,36,222,0,778
"11977",5,45,257,0,814
"12161",2,107,143,0,604
"12164",4,0,190,0,714
"12647",2,32,128,0,442
"12841",2,46,159,0,489
"12842",2,30,102,0,448
"12981",4,43,161,0,764
"12982",5,30,134,0,1195
"12984",4,69,178,0,686
"13275",4,106,169,0,787
"13276",4,124,202,0,572
"13279",2,53,130,0,562
"13584",1,72,90,0,523
"13627",2,72,171,0,528
"13681",6,0,283,0,733
"13683",6,39,180,0,263
"13901",2,90,297,0,1106
"13904",5,88,347,36,662
"13906",4,54,197,0,862
"14076",2,46,90,0,450
"14501",1,32,96,0,427
"14574",4,91,189,0,763
"14862",1,32,96,0,410
"1525",6,56,443,0,1061
"1645",4,32,193,0,844
"18298",5,0,341,0,1250
"18299",6,144,394,0,1100
"18300",4,107,215,0,933
"18301",4,97,193,0,829
"18302",2,30,174,0,548
"18303",4,72,144,0,809
"18311",2,107,198,0,754
"18312",6,0,540,0,915
"18314",2,0,180,0,484
"18318",6,36,464,0,953
"18320",1,0,180,0,323
"18411",2,63,144,0,523
"30021",5,0,292,0,974
"30022",2,0,172,0,641
"30091",5,57,268,0,863
"30092",6,107,464,0,1274
"30093",5,72,318,0,987
"30245",5,182,397,0,910
"35311",5,0,350,0,1040
"35312",4,24,192,0,761
"4006",5,55,500,0,1262
"40071",5,45,306,0,589
"40074",5,79,317,0,588
"40801",6,51,430,0,1097
"40802",5,68,221,0,848
"40803",5,126,298,0,790
"50011",5,0,273,0,893
"50013",1,36,30,0,351
"60086",1,0,169,0,342
"60251",1,32,64,0,410
"60253",2,32,183,0,429
"65033",5,90,246,0,813
"75015",2,32,82,0,432
"75017",2,33,156,0,404
"75275",2,0,133,0,615
"80267",5,107,317,0,1391
"80268",6,0,753,0,1302
"8041",5,54,542,0,1541
"8043",5,36,303,0,947
"8044",6,81,542,0,2122
"8053",5,30,561,0,1350
"8060",5,0,458,0,1798
"8274",5,30,232,0,996
"85081",2,36,172,0,494
"90078",4,0,151,0,683
"90081",1,45,30,0,294
"90083",5,103,266,0,743
"90084",4,72,189,0,608
"90117",5,91,170,0,949
"90742",1,0,63,0,295
"90747",4,114,164,0,631
"95041",1,32,64,0,410
"95042",1,32,64,0,410
"95161",2,72,91,0,554
"95162",4,194,222,0,931
"P5010",3,0,671,0,878
"P5012",3,0,374,0,821
"P5016",3,0,709,0,1557
"P5017",3,0,709,0,1557
"P5020",3,45,644,0,1104
"P5021",3,45,644,0,1104
"P5022",3,0,709,0,1557
"P5023",3,0,709,0,1557
"P5024",3,0,709,0,1557
"P5033",3,0,720,0,1099
"P5034",3,0,720,0,1099
"P5036",3,0,568,0,1097
"P5037",3,0,403,0,836
"P5038",3,0,373,0,1055
"P5042",3,45,612,0,1116
"P5043",3,0,463,0,697
"P5044",3,0,734,0,980
"P5056",3,0,314,0,384
"P5078",3,0,1342,0,1986
"P5079",3,0,1342,0,1986
"P5083",3,0,638,0,1389
"P5099",3,0,760,0,1591
"P5100",3,0,760,0,1591
"P5101",3,36,518,0,1184
"P5102",3,0,638,0,1389
"P5107",3,36,518,0,1184
"P5109",3,0,491,0,1060
"P5111",3,74,599,0,1085
"P5112",3,0,477,0,1161
"P5114",3,0,605,0,2027
"P5117",3,0,750,0,1525
"P5118",3,0,750,0,1525
"P5121",3,0,402,0,1070
"P5122",3,0,402,0,1070
"P5123",3,0,402,0,1070
"P5124",3,0,451,0,1102
"P5125",3,0,451,0,1102
"P5126",3,0,451,0,1102
"P5127",3,0,451,0,1102
"P5128",3,0,431,0,1493
"PB003",3,0,314,0,384
"PB004",3,0,452,0,467
"PB012",3,0,215,0,500
"PB019",3,0,540,0,2228
"PB023",3,0,452,0,467
